"Original","WebP","OriginalKiB","WebPKiB","SavedKiB","SavedPercent","Source"
"images/student-class-new-05.jpg","images/student-class-new-05.webp","226.8","82.7","144.1","63.5","copied-existing-webp"
"images/student-result-01.jpg","images/student-result-01.webp","289.9","91.6","198.2","68.4","copied-existing-webp"
"images/student-result-02.jpg","images/student-result-02.webp","314.1","162","152.1","48.4","copied-existing-webp"
"images/student-result-03.jpg","images/student-result-03.webp","399.2","182.7","216.6","54.2","copied-existing-webp"
"images/student-result-04.jpg","images/student-result-04.webp","412","177.6","234.4","56.9","copied-existing-webp"
"images/student-result-05.jpg","images/student-result-05.webp","236.4","73","163.4","69.1","copied-existing-webp"
"images/student-result-06.jpg","images/student-result-06.webp","355.9","146.3","209.5","58.9","copied-existing-webp"
"images/student-result-07.jpg","images/student-result-07.webp","456.5","203.3","253.2","55.5","copied-existing-webp"
"images/student-result-08.jpg","images/student-result-08.webp","425.5","194.8","230.7","54.2","copied-existing-webp"
"images/student-result-09.jpg","images/student-result-09.webp","397.1","172.3","224.8","56.6","copied-existing-webp"
"images/student-result-202606-01.jpg","images/student-result-202606-01.webp","243.3","78.4","164.9","67.8","copied-existing-webp"
"images/student-result-new-01.jpg","images/student-result-new-01.webp","494.5","255.9","238.5","48.2","copied-existing-webp"
"images/work-hero-01.jpg","images/work-hero-01.webp","398.8","171.6","227.1","57","copied-existing-webp"
"images/work-hero-02.jpg","images/work-hero-02.webp","582.8","316.5","266.2","45.7","copied-existing-webp"
"images/work-hero-04.jpg","images/work-hero-04.webp","546.9","272.6","274.3","50.2","copied-existing-webp"
